LIB,Filename,Entry-point,1,2,2-s,3,3-s,1+2,1+2_s,1+3,1+3_s,1+2+3,loc,all-sens pos,ct-verify pass?,Taint pass?,taint res,High taint pass?,Is_high_taint_1_2_pass
BearSSL,AES_big_cbc,key_schedule,0.08488678932189941,7.698482036590576,7.889814615249634,8.025164365768433,8.022180080413818,7.7702317237854,7.9612085819244385,8.021621465682983,7.984086513519287,17.692922592163086,841,290,Still Have Leak!,Still Have Leak!,4,Still Have Leak!,Still Have Leak!
BearSSL,AES_big_cbc,decrypt,0.1001582145690918,9.150871515274048,9.520803689956665,9.615478992462158,9.620266675949097,9.308785200119019,9.709672927856445,9.782354593276978,9.792511940002441,21.45217227935791,1821,565,Still Have Leak!,Still Have Leak!,32,Still Have Leak!,Still Have Leak!
BearSSL,AES_big_cbc,encrypt,0.0921945571899414,9.176496028900146,9.416225671768188,9.507041454315186,9.544664859771729,9.35220193862915,9.58924913406372,9.815608501434326,9.696067810058594,21.26183795928955,1814,565,Still Have Leak!,Still Have Leak!,32,Still Have Leak!,Still Have Leak!
