LIB,Filename,Entry-point,2,2_s,3,3-s,1+2,1+2_s,1+3,1+3_s
BearSSL,AES_big_cbc,key_schedule,1.0062124729156494,1.0296494960784912,1.1327497959136963,1.1475987434387207,1.0033013820648193,1.037506341934204,1.074845314025879,1.1209192276000977
BearSSL,AES_big_cbc,decrypt,1.3178234100341797,1.4394967555999756,1.4477078914642334,1.5008199214935303,1.326827049255371,1.381331205368042,1.4940052032470703,1.4623620510101318
BearSSL,AES_big_cbc,encrypt,1.331686019897461,1.426562786102295,1.4210152626037598,1.4737513065338135,1.3424875736236572,1.4048640727996826,1.4752781391143799,1.4730167388916016
