LIB,Filename,Entry-point,2,2_s,3,3-s,1+2,1+2_s,1+3,1+3_s
Mbed-tls,constant_time_primitive,mbedtls_ct_uint_mask,0.9095327854156494,0.8105902671813965,0.8215839862823486,0.8137428760528564,0.826361894607544,0.8231925964355469,0.813957691192627,0.828160285949707
Mbed-tls,constant_time_primitive,mbedtls_ct_base64_enc_char,0.8602774143218994,0.8340857028961182,0.8386952877044678,0.8124747276306152,0.8604412078857422,0.8182899951934814,0.7917647361755371,0.8277204036712646
Mbed-tls,constant_time_primitive,mbedtls_ct_size_mask_lt,0.8798964023590088,0.8518309593200684,0.8015904426574707,0.8279883861541748,0.8187036514282227,0.8837804794311523,0.85284423828125,0.8286805152893066
Mbed-tls,constant_time_primitive,mbedtls_ct_mpi_uint_mask,0.8471002578735352,0.8194665908813477,0.7911155223846436,0.8427066802978516,0.8401594161987305,0.8166298866271973,0.824113130569458,0.81600022315979
Mbed-tls,constant_time_primitive,mbedtls_ct_size_mask_ge,0.8251097202301025,0.8894093036651611,0.8503744602203369,0.8174872398376465,0.8700191974639893,0.8331153392791748,0.8224709033966064,0.8503241539001465
Mbed-tls,constant_time_primitive,mbedtls_ct_memcmp,0.8316471576690674,0.8251659870147705,0.8288586139678955,0.845360279083252,0.8452832698822021,0.857574462890625,0.8317136764526367,0.8440425395965576
Mbed-tls,constant_time_primitive,mbedtls_ct_mpi_uint_cond_assign,0.3732790946960449,0.404310941696167,0.40141725540161133,0.39861464500427246,0.3908841609954834,0.38965296745300293,0.4471867084503174,0.43879175186157227
Mbed-tls,constant_time_primitive,mbedtls_ct_memcpy_offset,0.4071989059448242,0.4157111644744873,0.4140772819519043,0.42202043533325195,0.39586520195007324,0.4324836730957031,0.4277918338775635,0.41466212272644043
Mbed-tls,constant_time_primitive,mbedtls_ct_size_bool_eq,0.7935504913330078,0.8275754451751709,0.84177565574646,0.8438713550567627,0.801647424697876,0.8361556529998779,0.8208167552947998,0.8747467994689941
Mbed-tls,constant_time_primitive,mbedtls_ct_base64_dec_value,0.82863450050354,0.8486580848693848,0.823176383972168,0.8546109199523926,0.8344807624816895,0.8718364238739014,0.8278944492340088,0.8615849018096924
Mbed-tls,constant_time_primitive,mbedtls_ct_size_mask,0.8405137062072754,0.8504717350006104,0.8386340141296387,0.8455140590667725,0.817763090133667,0.8400125503540039,0.7875888347625732,0.811058521270752
