LIB,Filename,Entry-point,1,1+2,1+3,loc,all-sens pos,taint res,ept7,Is_high_taint_1_2_pass
hacl,HMAC,Hacl_HMAC_compute_sha2_256,125.17908477783203,108.7952024936676,121.83689951896667,27404,1673,0,,Still Have Leak!
hacl,HMAC,Hacl_HMAC_compute_blake2b_32,183.5438175201416,177.4806408882141,179.09789657592773,68502,5289,0,,Still Have Leak!
hacl,HMAC,Hacl_HMAC_legacy_compute_sha1,215.9579794406891,104.39807105064392,132.89164924621582,2149,111,0,,Still Have Leak!
hacl,HMAC,Hacl_HMAC_compute_blake2s_32,197.22245836257935,169.7126784324646,175.90594339370728,56465,4309,0,,Still Have Leak!
hacl,HMAC,Hacl_HMAC_compute_sha2_384,115.6677315235138,109.18835496902466,116.67344212532043,34620,2183,0,,Still Have Leak!
hacl,HMAC,Hacl_HMAC_compute_sha2_512,117.03234839439392,122.85028386116028,116.80918908119202,34565,2177,0,,Still Have Leak!
