LIB,Filename,Entry-point,2,2_s,3,3-s,1+2,1+2_s,1+3,1+3_s
HACL,Curve25519-64,Hacl_Curve25519_64_ecdh,1.523712396621704,1.553647518157959,1.560401439666748,1.5243337154388428,1.3994011878967285,1.386747121810913,1.388371229171753,1.4120428562164307
HACL,Curve25519-64,Hacl_Curve25519_64_scalarmult,1.4619591236114502,1.513087511062622,1.539283037185669,1.530501127243042,1.4105236530303955,1.5246295928955078,1.4404172897338867,1.4523682594299316
HACL,Curve25519-64,Hacl_Curve25519_64_secret_to_public,1.4491565227508545,1.6823780536651611,1.6589014530181885,1.7352633476257324,1.4424035549163818,1.4971771240234375,1.4977741241455078,1.4613051414489746
