LIB,Filename,Entry-point,add-key,taint-analysis,ept3,2-generatebpl,2-product,2-verify,ept7,2-s-generatebpl,2-s-product,2-s-verify,ept11,3-generatebpl,3-product,3-verify,ept15,3-s-generatebpl,3-s-product,3-s-verify,ept19,1+2-addkey,1+2-taint-analysis,1+2-generatebpl,1+2-product,1+2-verify,ept25,1+2-s-addkey,1+2-s-taint-analysis,1+2-s-generatebpl,1+2-s-product,1+2-s-verify,ept31,1+3-addkey,1+3-taint-analysis,1+3-generatebpl,1+3-product,1+3-verify,ept37,1+3_s-addkey,1+3_s-taint-analysis,1+3_s-generatebpl,1+3_s-product,1+3_s-verify,ept43,ept9
OpenSSL,tls1_cbc,remove_padding,0.0184607505798339,0.0599191188812255,,1.1262428760528564,5.253380537033081,0.9167277812957764,,1.1472480297088623,5.410069942474365,0.9509875774383544,,1.1521577835083008,5.383415699005127,0.960186004638672,,1.148536205291748,5.407862424850464,0.952648401260376,,0.0109102725982666,0.0520200729370117,1.2431635856628418,5.221289873123169,0.8880963325500488,,0.0132019519805908,0.0451269149780273,1.2837727069854736,5.413115739822388,0.9248762130737304,,0.0194575786590576,0.0509748458862304,1.2403149604797363,5.403169870376587,0.9145851135253906,,0.0201351642608642,0.0567736625671386,1.2802884578704834,5.39426326751709,0.9272506237030028,,
OpenSSL,ssl3_cbc,digest_record,0.0315644741058349,1.3000702857971191,,2.845690488815308,11.045700073242188,10.004536151885986,,2.802501916885376,11.349076986312866,11.511940240859984,,2.7857179641723637,11.393848657608032,12.557899951934814,,2.824904203414917,11.201029300689695,21.812462329864506,,0.0224220752716064,1.0947296619415283,3.8570034503936768,11.778492212295532,8.40280032157898,,0.0276453495025634,1.2851965427398682,3.906609296798706,12.108305215835571,8.827224016189575,,0.0254900455474853,1.3381588459014893,3.7826008796691895,12.168291568756104,9.172131538391112,,0.0296201705932617,1.2600457668304443,3.8772027492523193,12.206429719924929,9.13136100769043,,
OpenSSL,ssl3_cbc,remove_padding,0.0125703811645507,0.0422627925872802,,1.0828981399536133,4.986009836196899,0.829068660736084,,1.114197015762329,5.3152244091033936,0.907712697982788,,1.0864222049713137,5.240196943283081,0.9239404201507568,,1.0906360149383545,5.452913522720337,0.8908994197845459,,0.0078649520874023,0.0297982692718505,1.101823091506958,5.045140743255615,0.8681609630584717,,0.0080523490905761,0.0373644828796386,1.1241886615753174,5.307514905929565,0.883603572845459,,0.0157833099365234,0.0327174663543701,1.107041358947754,5.176388740539551,0.888908863067627,,0.007354736328125,0.052401065826416,1.1038002967834473,5.334458827972412,0.8728623390197754,,
OpenSSL,ssl3_cbc,copy_mac,0.0149827003479003,0.0441055297851562,,1.1053528785705566,5.053670883178711,0.8998215198516846,,1.1395492553710938,5.437359094619751,0.939756155014038,,1.1145741939544678,5.38965106010437,1.3821697235107422,,1.0914738178253174,5.245347261428833,1.003577709197998,,0.0065290927886962,0.0389158725738525,1.111311912536621,5.1106321811676025,0.9039268493652344,,0.0075604915618896,0.0437688827514648,1.130141019821167,5.293506145477295,0.9237074851989746,,0.0078871250152587,0.0378775596618652,1.1315481662750244,5.450196027755737,0.9889116287231444,,0.0083813667297363,0.0401785373687744,1.1212787628173828,5.304476499557495,0.9320354461669922,,
MEE-CBC,mee-cbc,mee_cbc,0.0373651981353759,1.7391364574432373,,4.648314714431763,17.871559619903564,43.00300121307373,,4.609234094619751,18.20614790916443,57.27602744102478,,4.60428786277771,18.431707859039307,111.68670535087584,,4.568725347518921,18.19375443458557,182.0095820426941,,0.0651302337646484,1.3785998821258545,6.687095880508423,21.136494398117065,25.12751030921936,,0.0474293231964111,1.7521398067474363,6.505245208740234,21.794482231140137,36.94033694267273,,0.0381841659545898,1.1316518783569336,6.492860555648804,21.357196807861328,32.49473786354065,,0.0433554649353027,1.7406127452850342,6.334810018539429,21.222182035446167,31.74513554573059,,
hacl,HMAC,Hacl_HMAC_compute_sha2_256,0.4530060291290283,124.726078748703,,,,,,,,,,,,,,,,,,0.3657500743865967,108.429452419281,25.30294609069824,23.878120183944706,0.7496190071105957,,,,,,,,0.4514904022216797,121.385409116745,24.443675994873047,24.57366180419922,0.9009408950805664,,,,,,,,
hacl,HMAC,Hacl_HMAC_compute_blake2b_32,0.448312759399414,183.0955047607422,,,,,,,,,,,,,,,,,,0.3697445392608642,177.11089634895325,207.68081712722775,70.47849798202515,1.4411475658416748,,,,,,,,0.4471199512481689,178.65077662467957,231.55248308181763,71.60995864868164,1.663848638534546,,,,,,,,
hacl,HMAC,Hacl_HMAC_legacy_compute_sha1,0.4384386539459228,215.5195407867432,,,,,,,,,,,,,,,,,,0.3525032997131347,104.0455677509308,3.6343562602996826,7.125876903533936,0.4802572727203369,,,,,,,,0.3935661315917969,132.49808311462402,3.484583854675293,6.7430946826934814,0.4754281044006347,,,,,,,,
hacl,HMAC,Hacl_HMAC_compute_blake2s_32,0.3982093334197998,196.82424902915955,,,,,,,,,,,,,,,,,,0.4217941761016845,169.29088425636292,121.95864033699036,54.00118923187256,1.5791871547698977,,,,,,,,0.3928823471069336,175.51306104660034,138.5725531578064,52.81493616104126,1.2911100387573242,,,,,,,,
hacl,HMAC,Hacl_HMAC_compute_sha2_384,0.3573319911956787,115.31039953231812,,,,,,,,,,,,,,,,,,0.4041626453399658,108.78419232368468,44.025336027145386,31.20979380607605,1.137250900268555,,,,,,,,0.3487551212310791,116.32468700408936,34.72533559799194,30.898601293563843,0.9355230331420898,,,,,,,,
