LIB,Filename,Entry-point,1,2,2-s,3,3-s,1+2,1+2_s,1+3,1+3_s,1+2+3,loc,all-sens pos,ct-verify pass?,Taint pass?,taint res,High taint pass?,Is_high_taint_1_2_pass
BearSSL,AES_small,decrypt,0.09915924072265625,8.645820140838623,8.630465745925903,8.819220781326294,8.913782835006714,8.505511283874512,8.764415264129639,8.744133710861206,8.68647050857544,18.962873935699463,1395,310,Still Have Leak!,Still Have Leak!,1,Still Have Leak!,Still Have Leak!
BearSSL,AES_small,encrypt,0.09318256378173828,7.592777967453003,7.544369459152222,7.606076240539551,7.68608832359314,7.620033502578735,7.667914867401123,7.689257860183716,7.662442922592163,16.120482683181763,945,54,Still Have Leak!,Still Have Leak!,1,Still Have Leak!,Still Have Leak!
