LIB,Filename,Entry-point,1,2,2-s,3,3-s,1+2,1+2_s,1+3,1+3_s,1+2+3,loc,all-sens pos,ct-verify pass?,Taint pass?,taint res,High taint pass?,Is_high_taint_1_2_pass
BearSSL,DES_ct,cbc_decrypt,0.0865030288696289,8.242069959640503,8.24006700515747,8.26086139678955,8.280402898788452,0.07112240791320801,0.0798490047454834,0.07150030136108398,0.08067727088928223,0.08271646499633789,1670,49,Verified!,Verified!,0,Verified!,Verified!
BearSSL,DES_ct,cbc_encrypt,0.07498431205749512,8.170193195343018,8.400196552276611,8.513921022415161,8.3997163772583,0.07375121116638184,0.07848548889160156,0.07231688499450684,0.06909799575805664,0.08009147644042969,1658,49,Verified!,Verified!,0,Verified!,Verified!
