LIB,Filename,Entry-point,1,2,2-s,3,3-s,1+2,1+2_s,1+3,1+3_s,1+2+3,loc,all-sens pos,ct-verify pass?,Taint pass?,taint res,High taint pass?,Is_high_taint_1_2_pass
BearSSL,DES_table,cbc_decrypt,0.06882739067077637,8.829808235168457,9.292931318283081,9.33985185623169,9.42313003540039,9.015433073043823,9.11869478225708,9.349010944366455,9.44784927368164,20.572524785995483,1514,555,Still Have Leak!,Still Have Leak!,9,Still Have Leak!,Still Have Leak!
BearSSL,DES_table,cbc_encrypt,0.06267929077148438,8.882912874221802,9.213733434677124,9.189156293869019,9.438312292098999,8.74005937576294,9.167517900466919,9.449885606765747,9.512518644332886,21.104908227920532,1501,555,Still Have Leak!,Still Have Leak!,9,Still Have Leak!,Still Have Leak!
